    r      f0(r)      f1(r)      f2(r)
0.20000 0.32472472 -0.13663672 0.16577595
0.40000 0.53242117 -0.21984732 0.26403056
0.60000 0.65472138 -0.26106523 0.30755034
0.80000 0.71565744 -0.26982183 0.30781681
1.00000 0.73337333 -0.25402235 0.27505303
1.20000 0.72146662 -0.22018514 0.21827579
1.40000 0.69003779 -0.17364873 0.14535235
1.60000 0.64650907 -0.11875090 0.06306129
1.80000 0.59626166 -0.05898329 -0.02284349
2.00000 0.54313030 0.00287546 -0.10756614
2.20000 0.48978590 0.06464504 -0.18720038
2.40000 0.43803041 0.12464515 -0.25865987
2.60000 0.38902331 0.18161118 -0.31960788
2.80000 0.34345459 0.23462213 -0.36838712
3.00000 0.30167634 0.28303922 -0.40395000
3.20000 0.26380211 0.32645355 -0.42579008
3.40000 0.22978143 0.36464186 -0.43387507
3.60000 0.19945525 0.39752906 -0.42858184
3.80000 0.17259670 0.42515669 -0.41063384
4.00000 0.14894071 0.44765646 -0.38104129
4.20000 0.12820510 0.46522823 -0.34104447
4.40000 0.11010541 0.47812163 -0.29206028
4.60000 0.09436483 0.48662097 -0.23563245
4.80000 0.08072069 0.49103280 -0.17338540
5.00000 0.06892838 0.49167591 -0.10698203
5.20000 0.05876331 0.48887312 -0.03808547
5.40000 0.05002167 0.48294494 0.03167524
5.60000 0.04252021 0.47420444 0.10073530
5.80000 0.03609546 0.46295342 0.16762042
6.00000 0.03060249 0.44947951 0.23096910
6.20000 0.02591359 0.43405405 0.28955099
6.40000 0.02191669 0.41693072 0.34228161
6.60000 0.01851391 0.39834460 0.38823340
6.80000 0.01562001 0.37851180 0.42664333
7.00000 0.01316102 0.35762932 0.45691736
7.20000 0.01107289 0.33587530 0.47863177
7.40000 0.00930031 0.31340936 0.49153170
7.60000 0.00779554 0.29037326 0.49552721
7.80000 0.00651748 0.26689149 0.49068689
8.00000 0.00543072 0.24307215 0.47722948
8.20000 0.00450475 0.21900768 0.45551369
8.40000 0.00371325 0.19477576 0.42602640
8.60000 0.00303347 0.17044018 0.38936965
8.80000 0.00244561 0.14605162 0.34624657
9.00000 0.00193238 0.12164856 0.29744651
9.20000 0.00147852 0.09725798 0.24382967
9.40000 0.00107036 0.07289618 0.18631144
9.60000 0.00069548 0.04856944 0.12584660
9.80000 0.00034236 0.02427467 0.06341375
